Code,Airport Code
10001,01A
10003,03A
10004,04A
10005,05A
10006,06A
10007,07A
10008,08A
10009,09A
10010,1B1
10011,1G4
10012,1N7
10013,8F3
10014,A01
10015,A02
10016,A03
10017,A04
10018,A05
10019,A06
10020,A07
10021,A08
10022,A09
10023,KTH
10024,A11
10025,A12
10026,A13
10027,A14
10028,A15
10029,A16
10030,A17
10031,A18
10033,A20
10034,A21
10035,A22
10036,A23
10037,A24
10038,A25
10039,A26
10040,A27
10041,A28
10042,A29
10043,A30
10044,A31
10047,A34
10049,A36
10050,A37
10051,A38
10052,A39
10053,A40
10054,A41
10055,A42
10056,A43
10058,A45
10059,A46
10060,A47
10061,A48
10062,A49
10063,A50
10064,A51
10065,A52
10066,A53
10067,A54
10069,A56
10070,A57
10071,A58
10072,A59
10074,A61
10075,A62
10076,A63
10078,A65
10079,A66
10080,A67
10082,A69
10083,A70
10084,A71
10085,A72
10086,A73
10087,A74
10088,A75
10089,A76
10090,A77
10091,A78
10092,A79
10093,A80
10094,A81
10095,A82
10096,A83
10097,A84
10098,A85
10100,A87
10102,A89
10103,A90
10104,A91
10105,A92
10106,A93
10107,A94
10108,A94
10109,A94
10110,A97
10111,A98
10112,A99
10113,AA1
10116,AA4
10117,AA5
10118,AAA
10119,AAB
10120,AAC
10121,AAE
10122,AAF
10123,AAH
10124,AAI
10125,AAL
10126,AAM
10127,AAN
10128,AAO
10129,AAQ
10130,AAR
10131,AAU
10132,AAX
10134,ABD
10135,ABE
10136,ABI
10137,ABJ
10138,ABK
10139,ABL
10140,ABQ
10141,ABR
10142,ABS
10143,ABT
10144,ABV
10145,ABX
10146,ABY
10147,ABZ
10148,ACA
10149,ACB
10150,ACC
10151,ACE
10152,ACH
10153,ACI
10154,ACK
10155,ACT
10156,ACU
10157,ACV
10158,ACY
10159,ADA
10160,ADB
10161,ADC
10162,ADD
10163,ADE
10164,ADJ
10165,ADK
10166,ADL
10167,ADM
10168,ADN
10169,ADO
10170,ADQ
10171,ADS
10172,ADW
10173,ADX
10174,ADZ
10175,DHF
10176,AED
10177,AEG
10178,AEH
10180,AEO
10181,AEP
10182,AER
10183,AES
10184,AET
10185,AEX
10186,AEY
10188,AFA
10189,AFF
10190,AFK
10191,AFO
10192,AFP
10194,AFW
10195,AFY
10196,AGA
10197,AGB
10198,AGC
10199,AGF
10200,AGG
10201,AGH
10202,AGK
10203,AGL
10204,AGN
10205,AGP
10206,AGQ
10207,AGR
10208,AGS
10209,AGT
10210,AGU
10211,AGV
10212,AGX
10213,AHA
10214,AHB
10215,AHD
10216,AHN
10217,AHO
10218,AHS
10219,AHT
10220,AHU
10221,AIA
10222,AIB
10223,AID
10224,AIK
10225,AIN
10226,AIT
10227,AIY
10228,AIZ
10229,AJA
10230,AJF
10231,AJJ
10232,AJL
10233,AJN
10234,AJR
10235,AJU
10236,AJY
10237,AKB
10238,AKC
10239,AKF
10241,AKI
10242,AKJ
10243,AKK
10244,AKL
10245,AKN
10246,AKO
10247,AKP
10248,AKR
10249,AKS
10250,AKT
10251,AKX
10252,AKY
10253,AL1
10254,AL2
10255,AL3
10256,ALA
10257,ALB
10258,ALC
10259,ALE
10260,ALF
10261,ALG
10262,ALH
10263,ALI
10264,ALJ
10265,ALK
10266,ALM
10267,ALN
10268,ALO
10269,ALP
10270,ALQ
10271,ALR
10272,ALS
10273,ALT
10274,ALU
10275,ALW
10276,ALX
10277,ALY
10278,ALZ
10279,AMA
10280,AMD
10281,AMF
10282,AMG
10283,AMH
10284,AMI
10285,AMK
10286,AML
10287,AMM
10288,AMN
10289,AMO
10290,AMP
10291,AMQ
10292,AMS
10294,AMW
10295,AMX
10296,AMY
10297,ANA
10298,ANB
10299,ANC
10300,AND
10301,ANE
10302,ANF
10303,ANG
10304,ANI
10305,ANK
10306,ANM
10307,ANN
10308,ANO
10309,ANP
10310,ANR
10311,ANS
10312,ANU
10313,ANV
10314,ANX
10317,AOH
10318,AOI
10319,AOJ
10320,AOK
10321,AOL
10322,AOO
10323,AOR
10324,AOS
10325,APA
10326,APB
10327,APC
10328,APE
10329,APF
10330,APG
10331,APK
10332,APL
10333,APN
10334,APO
10335,APR
10336,APT
10337,APV
10338,APW
10339,AQI
10340,AQJ
10342,AQP
10343,AQS
10344,AQY
10345,AR1
10346,AR2
10347,ARA
10348,ARB
10349,ARC
10350,ARD
10351,ARE
10352,ARG
10353,ARH
10354,ARI
10355,ARK
10356,ARM
10357,ARN
10358,ARP
10359,ARQ
10360,ARS
10361,ART
10362,ARU
10363,ARV
10364,ARW
10365,ARX
10366,ARY
10367,ARZ
10368,ASA
10369,ASB
10370,ASC
10371,ASD
10372,ASE
10373,ASG
10374,ASH
10375,ASI
10376,ASJ
10377,ASK
10378,ASL
10379,ASM
10380,ASN
10381,ASO
10382,ASP
10383,ASQ
10384,ASR
10385,AST
10386,ASU
10387,ASW
10388,ASX
10389,ASY
10390,ATA
10391,ATB
10392,ATC
10393,ATE
10394,ATH
10395,ATI
10396,ATK
10397,ATL
10398,ATM
10399,ATN
10400,ATO
10401,ATP
10402,ATQ
10403,ATR
10404,ATS
10405,ATT
10406,ATU
10407,ATV
10408,ATW
10409,ATY
10410,ATZ
10411,AUA
10412,AUC
10413,AUD
10414,AUG
10415,AUH
10416,AUK
10417,AUM
10418,AUN
10419,AUO
10420,AUP
10421,AUQ
10422,AUR
10423,AUS
10424,AUW
10425,AUX
10426,AUY
10427,AUZ
10428,AVB
10430,AVI
10431,AVL
10432,AVN
10433,AVO
10434,AVP
10435,AVV
10436,AVW
10437,AVX
10438,AWA
10439,AWK
10440,AWM
10441,AWR
10442,AWX
10443,AWZ
10444,AXA
10445,AXB
10446,AXC
10447,AXD
10448,AXM
10449,AXN
10450,AXP
10451,AXS
10452,AXT
10453,AXU
10454,AXV
10455,AXX
10456,AYL
10457,AYP
10458,AYQ
10459,AYR
10460,AYS
